directions_detail_pattern_id,pattern,directions_detail_id,sequence_no,created_id,created_at,updated_id,updated_at
3225,0,3225,4,1,2016-10-05 08:53:12,1,2016-11-11 00:00:00
3226,0,3226,5,1,2016-10-05 08:53:12,1,2016-11-11 00:00:00
3275,0,3275,1,1,2016-10-19 15:51:54,1,2016-11-11 00:00:00
3276,0,3276,2,1,2016-10-19 15:51:54,1,2016-11-11 00:00:00
3277,0,3277,3,1,2016-10-19 15:51:54,1,2016-11-11 00:00:00
3278,0,3278,4,1,2016-10-19 15:51:54,1,2016-11-11 00:00:00
3282,0,3282,1,1,2016-07-26 13:43:37,1,2016-11-11 00:00:00
3283,0,3283,2,1,2016-07-26 13:43:37,1,2016-11-11 00:00:00
3284,0,3284,3,1,2016-07-26 13:43:37,1,2016-11-11 00:00:00
3285,0,3285,4,1,2016-07-26 13:43:37,1,2016-11-11 00:00:00
3286,0,3286,1,1,2016-07-26 14:03:20,1,2016-11-11 00:00:00
3287,0,3287,2,1,2016-07-26 14:03:20,1,2016-11-11 00:00:00
3288,0,3288,3,1,2016-07-26 14:03:20,1,2016-11-11 00:00:00
3289,0,3289,4,1,2016-07-26 14:03:20,1,2016-11-11 00:00:00
3290,0,3290,5,1,2016-07-26 14:03:20,1,2016-11-11 00:00:00
3291,0,3291,6,1,2016-07-26 14:03:20,1,2016-11-11 00:00:00
3292,0,3292,1,1,2016-09-01 13:06:49,1,2016-11-11 00:00:00
3293,0,3293,2,1,2016-09-01 13:06:49,1,2016-11-11 00:00:00
3294,0,3294,3,1,2016-09-01 13:06:49,1,2016-11-11 00:00:00
3295,0,3295,4,1,2016-09-01 13:06:49,1,2016-11-11 00:00:00
3296,0,3296,5,1,2016-09-01 13:06:49,1,2016-11-11 00:00:00
3303,0,3303,1,1,2016-10-19 15:46:12,1,2016-11-11 00:00:00
3304,0,3304,2,1,2016-10-19 15:46:12,1,2016-11-11 00:00:00
3305,0,3305,3,1,2016-10-19 15:46:12,1,2016-11-11 00:00:00
3306,0,3306,4,1,2016-10-19 15:46:12,1,2016-11-11 00:00:00
3401,0,3401,1,1,2016-07-20 15:28:40,1,2016-11-11 00:00:00
3402,0,3402,2,1,2016-07-20 15:28:40,1,2016-11-11 00:00:00
3403,0,3403,3,1,2016-07-20 15:28:40,1,2016-11-11 00:00:00
3404,0,3404,4,1,2016-07-20 15:28:40,1,2016-11-11 00:00:00
3405,0,3405,5,1,2016-07-20 15:28:40,1,2016-11-11 00:00:00
3406,0,3406,1,1,2016-06-16 16:26:04,1,2016-11-11 00:00:00
3407,0,3407,2,1,2016-06-16 16:26:04,1,2016-11-11 00:00:00
3411,0,3411,1,1,2016-02-19 15:00:42,1,2016-11-11 00:00:00
3412,0,3412,2,1,2016-02-19 15:00:42,1,2016-11-11 00:00:00
3413,0,3413,3,1,2016-02-19 15:00:42,1,2016-11-11 00:00:00
3414,0,3414,4,1,2016-02-19 15:00:42,1,2016-11-11 00:00:00
3415,0,3415,5,1,2016-02-19 15:00:42,1,2016-11-11 00:00:00
3416,0,3416,6,1,2016-02-19 15:00:42,1,2016-11-11 00:00:00
3417,0,3417,1,1,2016-10-13 15:24:27,1,2016-11-11 00:00:00
3418,0,3418,2,1,2016-10-13 15:24:27,1,2016-11-11 00:00:00
3419,0,3419,3,1,2016-10-13 15:24:27,1,2016-11-11 00:00:00
