ingredient_season_id,ingredient_id,season_start,season_end,created_id,created_at,updated_id,updated_at
403,76,101,1231,3,2016-12-07 12:04:45,3,2016-12-07 12:04:45
404,76,915,1115,3,2016-12-07 12:04:45,3,2016-12-07 12:04:45
405,77,1001,1231,3,2016-12-07 12:07:27,3,2016-12-07 12:07:27
406,78,1001,1130,3,2016-12-07 12:08:58,3,2016-12-07 12:08:58
407,79,501,831,3,2016-12-07 12:12:59,3,2016-12-07 12:12:59
408,80,315,531,3,2016-12-07 12:14:40,3,2016-12-07 12:14:40
409,80,915,1130,3,2016-12-07 12:14:40,3,2016-12-07 12:14:40
410,81,301,531,3,2016-12-07 12:16:31,3,2016-12-07 12:16:31
411,84,101,1231,3,2016-12-07 13:03:55,3,2016-12-07 13:03:55
412,84,301,531,3,2016-12-07 13:03:55,3,2016-12-07 13:03:55
415,85,101,1231,3,2016-12-07 13:05:30,3,2016-12-07 13:05:30
416,85,301,531,3,2016-12-07 13:05:30,3,2016-12-07 13:05:30
417,86,101,1231,3,2016-12-07 13:08:05,3,2016-12-07 13:08:05
418,86,901,1031,3,2016-12-07 13:08:05,3,2016-12-07 13:08:05
419,87,101,1231,3,2016-12-07 13:09:30,3,2016-12-07 13:09:30
420,87,1015,131,3,2016-12-07 13:09:30,3,2016-12-07 13:09:30
421,88,101,1231,3,2016-12-07 13:11:07,3,2016-12-07 13:11:07
422,89,101,1231,3,2016-12-07 13:14:36,3,2016-12-07 13:14:36
423,89,501,630,3,2016-12-07 13:14:36,3,2016-12-07 13:14:36
424,90,901,1130,3,2016-12-07 13:18:21,3,2016-12-07 13:18:21
425,91,601,915,3,2016-12-07 13:20:27,3,2016-12-07 13:20:27
426,93,101,1231,3,2016-12-07 13:27:24,3,2016-12-07 13:27:24
427,93,1201,331,3,2016-12-07 13:27:24,3,2016-12-07 13:27:24
428,95,601,815,3,2016-12-07 13:30:37,3,2016-12-07 13:30:37
429,97,901,1031,3,2016-12-07 13:34:43,3,2016-12-07 13:34:43
430,132,415,531,3,2016-12-07 14:42:01,3,2016-12-07 14:42:01
431,132,815,930,3,2016-12-07 14:42:01,3,2016-12-07 14:42:01
432,133,1115,531,3,2016-12-07 14:44:14,3,2016-12-07 14:44:14
433,134,401,531,3,2016-12-07 14:49:15,3,2016-12-07 14:49:15
434,134,915,1231,3,2016-12-07 14:49:15,3,2016-12-07 14:49:15
435,135,1201,131,3,2016-12-07 14:51:38,3,2016-12-07 14:51:38
436,136,1201,228,3,2016-12-07 14:53:23,3,2016-12-07 14:53:23
441,145,101,1231,3,2016-12-07 15:06:12,3,2016-12-07 15:06:12
442,146,901,1130,3,2016-12-07 15:07:37,3,2016-12-07 15:07:37
447,149,701,1130,3,2016-12-07 15:14:49,3,2016-12-07 15:14:49
448,150,901,1130,3,2016-12-07 15:16:31,3,2016-12-07 15:16:31
453,153,1115,228,3,2016-12-08 09:43:01,3,2016-12-08 09:43:01
454,153,615,915,3,2016-12-08 09:43:01,3,2016-12-08 09:43:01
455,154,701,1130,3,2016-12-08 09:44:23,3,2016-12-08 09:44:23
457,156,701,1130,3,2016-12-08 09:46:10,3,2016-12-08 09:46:10
461,159,901,1130,3,2016-12-08 09:52:11,3,2016-12-08 09:52:11
463,161,901,1130,3,2016-12-08 09:53:49,3,2016-12-08 09:53:49
464,163,101,1231,3,2016-12-08 09:56:23,3,2016-12-08 09:56:23
465,163,501,1031,3,2016-12-08 09:56:23,3,2016-12-08 09:56:23
466,167,401,831,3,2016-12-08 10:13:18,3,2016-12-08 10:13:18
467,167,1101,131,3,2016-12-08 10:13:18,3,2016-12-08 10:13:18
468,168,301,531,3,2016-12-08 10:16:23,3,2016-12-08 10:16:23
469,171,301,531,3,2016-12-08 10:18:24,3,2016-12-08 10:18:24
470,172,901,1130,3,2016-12-08 10:21:41,3,2016-12-08 10:21:41
471,173,101,1231,3,2016-12-08 10:23:59,3,2016-12-08 10:23:59
472,173,1101,131,3,2016-12-08 10:23:59,3,2016-12-08 10:23:59
478,198,101,1231,3,2016-12-08 11:13:02,3,2016-12-08 11:13:02
479,198,201,430,3,2016-12-08 11:13:02,3,2016-12-08 11:13:02
480,199,101,1231,3,2016-12-08 11:13:47,3,2016-12-08 11:13:47
481,199,201,430,3,2016-12-08 11:13:47,3,2016-12-08 11:13:47
482,595,1201,228,3,2016-12-14 16:49:04,3,2016-12-14 16:49:04
483,596,101,1231,3,2016-12-16 12:01:19,3,2016-12-16 12:01:19
485,634,101,1231,3,2017-03-22 09:24:47,3,2017-03-22 09:24:47
488,49,601,930,3,2017-03-30 15:27:09,3,2017-03-30 15:27:09
489,44,601,930,3,2017-03-30 15:27:26,3,2017-03-30 15:27:26
490,50,601,930,3,2017-03-30 15:27:40,3,2017-03-30 15:27:40
491,640,101,1231,9,2017-04-06 11:30:53,9,2017-04-06 11:30:53
492,21,401,630,9,2017-04-12 12:10:09,9,2017-04-12 12:10:09
494,11,1101,331,9,2017-04-19 15:06:55,9,2017-04-19 15:06:55
495,658,501,731,5,2017-05-09 10:38:31,5,2017-05-09 10:38:31
498,197,101,1231,9,2017-05-25 09:53:44,9,2017-05-25 09:53:44
499,698,601,930,5,2017-07-03 14:30:10,5,2017-07-03 14:30:10
500,174,101,1231,5,2017-07-19 09:54:48,5,2017-07-19 09:54:48
501,174,701,930,5,2017-07-19 09:54:48,5,2017-07-19 09:54:48
502,274,101,1231,11,2017-07-31 09:47:27,11,2017-07-31 09:47:27
503,735,301,1101,5,2017-08-21 17:59:32,5,2017-08-21 17:59:32
504,10,601,1015,11,2017-09-05 13:42:48,11,2017-09-05 13:42:48
505,753,601,1130,11,2017-09-12 13:29:48,11,2017-09-12 13:29:48
506,754,910,1031,11,2017-09-12 13:41:13,11,2017-09-12 13:41:13
507,755,601,1031,11,2017-09-12 14:03:06,11,2017-09-12 14:03:06
511,192,101,1231,12,2017-09-15 10:10:52,12,2017-09-15 10:10:52
512,175,101,1231,12,2017-09-15 14:34:46,12,2017-09-15 14:34:46
513,158,901,1130,1,2017-09-19 13:08:52,1,2017-09-19 13:08:52
514,185,101,1231,1,2017-09-19 13:53:43,1,2017-09-19 13:53:43
515,113,101,1231,1,2017-09-19 15:30:33,1,2017-09-19 15:30:33
516,114,101,1231,1,2017-09-19 15:37:27,1,2017-09-19 15:37:27
517,177,101,1231,1,2017-09-19 17:15:35,1,2017-09-19 17:15:35
518,177,501,1031,1,2017-09-19 17:15:35,1,2017-09-19 17:15:35
519,203,101,1231,12,2017-09-20 13:42:14,12,2017-09-20 13:42:14
520,141,501,731,12,2017-09-20 17:00:04,12,2017-09-20 17:00:04
521,144,701,1130,12,2017-09-20 17:18:52,12,2017-09-20 17:18:52
522,155,701,1130,12,2017-09-20 17:27:25,12,2017-09-20 17:27:25
523,53,101,1231,12,2017-09-21 10:05:20,12,2017-09-21 10:05:20
526,162,101,1231,12,2017-09-21 11:30:43,12,2017-09-21 11:30:43
527,178,101,1231,12,2017-09-22 11:05:01,12,2017-09-22 11:05:01
528,111,101,1231,12,2017-09-22 13:43:04,12,2017-09-22 13:43:04
529,83,101,1231,5,2017-09-23 11:16:02,5,2017-09-23 11:16:02
530,83,301,531,5,2017-09-23 11:16:02,5,2017-09-23 11:16:02
531,139,501,731,12,2017-09-25 11:43:35,12,2017-09-25 11:43:35
532,420,101,1231,12,2017-09-25 15:32:44,12,2017-09-25 15:32:44
533,421,101,1231,12,2017-09-25 15:33:23,12,2017-09-25 15:33:23
534,430,1201,131,12,2017-09-25 16:18:40,12,2017-09-25 16:18:40
535,195,101,1231,11,2017-10-10 11:23:27,11,2017-10-10 11:23:27
536,786,810,1031,11,2017-12-04 10:03:01,11,2017-12-04 10:03:01
537,787,901,131,11,2017-12-04 10:04:10,11,2017-12-04 10:04:10
538,782,201,431,11,2017-12-04 10:06:01,11,2017-12-04 10:06:01
539,782,901,1031,11,2017-12-04 10:06:01,11,2017-12-04 10:06:01
540,789,501,931,11,2017-12-04 10:08:26,11,2017-12-04 10:08:26
541,617,701,931,11,2017-12-04 10:15:48,11,2017-12-04 10:15:48
544,700,501,1131,11,2017-12-04 10:20:41,11,2017-12-04 10:20:41
545,700,201,831,11,2017-12-04 10:20:41,11,2017-12-04 10:20:41
546,793,101,1231,11,2017-12-04 10:22:25,11,2017-12-04 10:22:25
547,784,1101,431,11,2017-12-04 10:24:11,11,2017-12-04 10:24:11
548,785,1101,431,11,2017-12-04 10:24:47,11,2017-12-04 10:24:47
