recipe_ingredient_id,recipe_id,ingredient_id,holiday_flag,mark_id,created_id,created_at,updated_id,updated_at
36160,2322,291,1,2,9,2017-06-01 16:33:57,9,2017-06-01 16:33:57
36161,2322,338,0,,9,2017-06-01 16:33:57,9,2017-06-01 16:33:57
36162,2322,289,0,3,9,2017-06-01 16:33:57,9,2017-06-01 16:33:57
36163,2322,296,0,3,9,2017-06-01 16:33:57,9,2017-06-01 16:33:57
36164,2322,293,0,3,9,2017-06-01 16:33:57,9,2017-06-01 16:33:57
36165,2322,291,0,3,9,2017-06-01 16:33:57,9,2017-06-01 16:33:57
36166,2322,405,0,,9,2017-06-01 16:33:57,9,2017-06-01 16:33:57
36167,2324,19,0,,9,2017-06-01 16:34:26,9,2017-06-01 16:34:26
36168,2324,210,0,,9,2017-06-01 16:34:26,9,2017-06-01 16:34:26
36169,2324,198,0,,9,2017-06-01 16:34:26,9,2017-06-01 16:34:26
36170,2324,338,0,,9,2017-06-01 16:34:26,9,2017-06-01 16:34:26
36171,2324,289,0,1,9,2017-06-01 16:34:26,9,2017-06-01 16:34:26
36172,2324,296,0,1,9,2017-06-01 16:34:26,9,2017-06-01 16:34:26
36173,2324,293,0,1,9,2017-06-01 16:34:26,9,2017-06-01 16:34:26
36174,2324,291,0,1,9,2017-06-01 16:34:26,9,2017-06-01 16:34:26
36175,2328,121,1,,9,2017-06-01 16:34:53,9,2017-06-01 16:34:53
36176,2328,289,0,1,9,2017-06-01 16:34:53,9,2017-06-01 16:34:53
36177,2328,296,0,1,9,2017-06-01 16:34:53,9,2017-06-01 16:34:53
36178,2328,293,0,1,9,2017-06-01 16:34:53,9,2017-06-01 16:34:53
36179,2328,291,0,1,9,2017-06-01 16:34:53,9,2017-06-01 16:34:53
36180,2328,458,0,,9,2017-06-01 16:34:53,9,2017-06-01 16:34:53
36181,2328,287,0,,9,2017-06-01 16:34:53,9,2017-06-01 16:34:53
36191,2349,63,1,,9,2017-06-01 16:35:54,9,2017-06-01 16:35:54
36192,2349,111,1,,9,2017-06-01 16:35:54,9,2017-06-01 16:35:54
36193,2349,454,1,,9,2017-06-01 16:35:54,9,2017-06-01 16:35:54
36194,2349,300,1,1,9,2017-06-01 16:35:54,9,2017-06-01 16:35:54
36195,2349,296,1,1,9,2017-06-01 16:35:54,9,2017-06-01 16:35:54
36196,2349,293,1,1,9,2017-06-01 16:35:54,9,2017-06-01 16:35:54
36197,2349,291,1,1,9,2017-06-01 16:35:54,9,2017-06-01 16:35:54
36198,2349,288,1,1,9,2017-06-01 16:35:54,9,2017-06-01 16:35:54
36199,2349,318,1,1,9,2017-06-01 16:35:54,9,2017-06-01 16:35:54
36200,2351,172,1,,9,2017-06-01 16:36:17,9,2017-06-01 16:36:17
36201,2351,289,1,1,9,2017-06-01 16:36:17,9,2017-06-01 16:36:17
36202,2351,296,1,1,9,2017-06-01 16:36:17,9,2017-06-01 16:36:17
36203,2351,293,1,1,9,2017-06-01 16:36:17,9,2017-06-01 16:36:17
36204,2351,291,1,1,9,2017-06-01 16:36:17,9,2017-06-01 16:36:17
36205,2354,120,1,,9,2017-06-01 16:36:40,9,2017-06-01 16:36:40
36206,2354,71,1,,9,2017-06-01 16:36:40,9,2017-06-01 16:36:40
36207,2354,45,1,,9,2017-06-01 16:36:40,9,2017-06-01 16:36:40
36208,2354,321,1,1,9,2017-06-01 16:36:40,9,2017-06-01 16:36:40
36209,2354,293,1,1,9,2017-06-01 16:36:40,9,2017-06-01 16:36:40
36210,2354,313,1,1,9,2017-06-01 16:36:40,9,2017-06-01 16:36:40
36211,2354,311,1,1,9,2017-06-01 16:36:40,9,2017-06-01 16:36:40
36212,2354,317,1,1,9,2017-06-01 16:36:40,9,2017-06-01 16:36:40
36213,2354,284,1,1,9,2017-06-01 16:36:40,9,2017-06-01 16:36:40
36214,2354,287,1,1,9,2017-06-01 16:36:40,9,2017-06-01 16:36:40
36215,2354,353,1,1,9,2017-06-01 16:36:40,9,2017-06-01 16:36:40
36216,2354,548,1,1,9,2017-06-01 16:36:40,9,2017-06-01 16:36:40
36230,2365,617,0,,9,2017-06-01 16:37:52,9,2017-06-01 16:37:52
36231,2365,116,1,,9,2017-06-01 16:37:52,9,2017-06-01 16:37:52
36232,2365,300,1,1,9,2017-06-01 16:37:52,9,2017-06-01 16:37:52
36233,2365,289,1,1,9,2017-06-01 16:37:52,9,2017-06-01 16:37:52
36234,2365,293,1,1,9,2017-06-01 16:37:52,9,2017-06-01 16:37:52
36235,2365,291,1,1,9,2017-06-01 16:37:52,9,2017-06-01 16:37:52
36236,2365,398,1,,9,2017-06-01 16:37:52,9,2017-06-01 16:37:52
36257,2370,107,1,,9,2017-06-01 16:40:04,9,2017-06-01 16:40:04
36258,2370,617,0,,9,2017-06-01 16:40:04,9,2017-06-01 16:40:04
36259,2370,385,0,,9,2017-06-01 16:40:04,9,2017-06-01 16:40:04
36260,2370,398,0,,9,2017-06-01 16:40:04,9,2017-06-01 16:40:04
36261,2370,30,0,,9,2017-06-01 16:40:04,9,2017-06-01 16:40:04
36262,2370,293,1,2,9,2017-06-01 16:40:04,9,2017-06-01 16:40:04
36263,2370,296,1,2,9,2017-06-01 16:40:04,9,2017-06-01 16:40:04
36264,2370,291,1,2,9,2017-06-01 16:40:04,9,2017-06-01 16:40:04
36265,2370,289,1,2,9,2017-06-01 16:40:04,9,2017-06-01 16:40:04
36266,2370,302,0,,9,2017-06-01 16:40:05,9,2017-06-01 16:40:05
36267,2370,300,0,3,9,2017-06-01 16:40:05,9,2017-06-01 16:40:05
36268,2370,312,0,3,9,2017-06-01 16:40:05,9,2017-06-01 16:40:05
36269,2370,334,0,,9,2017-06-01 16:40:05,9,2017-06-01 16:40:05
36270,2370,332,0,,9,2017-06-01 16:40:05,9,2017-06-01 16:40:05
36307,2381,110,1,,9,2017-06-01 16:42:55,9,2017-06-01 16:42:55
36308,2381,9,1,,9,2017-06-01 16:42:55,9,2017-06-01 16:42:55
36309,2381,233,1,,9,2017-06-01 16:42:55,9,2017-06-01 16:42:55
36310,2381,296,0,1,9,2017-06-01 16:42:55,9,2017-06-01 16:42:55
36311,2381,307,0,1,9,2017-06-01 16:42:55,9,2017-06-01 16:42:55
36312,2381,293,0,1,9,2017-06-01 16:42:55,9,2017-06-01 16:42:55
36313,2381,289,0,1,9,2017-06-01 16:42:55,9,2017-06-01 16:42:55
36314,2381,334,0,1,9,2017-06-01 16:42:55,9,2017-06-01 16:42:55
36315,2387,12,0,,9,2017-06-01 16:43:20,9,2017-06-01 16:43:20
36316,2387,36,0,,9,2017-06-01 16:43:20,9,2017-06-01 16:43:20
36317,2387,8,0,,9,2017-06-01 16:43:20,9,2017-06-01 16:43:20
36318,2387,296,0,1,9,2017-06-01 16:43:20,9,2017-06-01 16:43:20
36319,2387,289,0,1,9,2017-06-01 16:43:20,9,2017-06-01 16:43:20
36320,2387,291,0,1,9,2017-06-01 16:43:20,9,2017-06-01 16:43:20
36321,2387,293,0,1,9,2017-06-01 16:43:20,9,2017-06-01 16:43:20
36322,2387,307,0,1,9,2017-06-01 16:43:20,9,2017-06-01 16:43:20
36323,2387,317,0,1,9,2017-06-01 16:43:20,9,2017-06-01 16:43:20
36324,2387,458,0,,9,2017-06-01 16:43:20,9,2017-06-01 16:43:20
36325,2388,120,1,,9,2017-06-01 16:44:01,9,2017-06-01 16:44:01
36326,2388,1,0,,9,2017-06-01 16:44:01,9,2017-06-01 16:44:01
36327,2388,296,1,2,9,2017-06-01 16:44:01,9,2017-06-01 16:44:01
36328,2388,291,1,2,9,2017-06-01 16:44:01,9,2017-06-01 16:44:01
36329,2388,289,1,2,9,2017-06-01 16:44:01,9,2017-06-01 16:44:01
36330,2388,293,1,2,9,2017-06-01 16:44:01,9,2017-06-01 16:44:01
36331,2388,332,0,,9,2017-06-01 16:44:01,9,2017-06-01 16:44:01
36332,2388,458,0,,9,2017-06-01 16:44:01,9,2017-06-01 16:44:01
36333,2388,284,0,,9,2017-06-01 16:44:01,9,2017-06-01 16:44:01
36334,2388,296,0,3,9,2017-06-01 16:44:01,9,2017-06-01 16:44:01
36335,2388,291,0,3,9,2017-06-01 16:44:01,9,2017-06-01 16:44:01
36336,2388,289,0,3,9,2017-06-01 16:44:01,9,2017-06-01 16:44:01
36337,2388,293,0,3,9,2017-06-01 16:44:01,9,2017-06-01 16:44:01
36338,2389,23,0,,9,2017-06-01 16:44:30,9,2017-06-01 16:44:30
36339,2389,473,0,,9,2017-06-01 16:44:30,9,2017-06-01 16:44:30
36340,2389,289,0,1,9,2017-06-01 16:44:30,9,2017-06-01 16:44:30
36341,2389,296,0,1,9,2017-06-01 16:44:30,9,2017-06-01 16:44:30
