directions_detail_pattern_id,previous_process,created_id,created_at,updated_id,updated_at,previous_dependence_level
87245,4,11,2017-12-13 11:09:26,11,2017-12-13 11:09:26,0
87246,5,11,2017-12-13 11:09:26,11,2017-12-13 11:09:26,1
87247,6,11,2017-12-13 11:09:26,11,2017-12-13 11:09:26,0
87248,7,11,2017-12-13 11:09:26,11,2017-12-13 11:09:26,0
87249,0,11,2017-12-13 11:09:26,11,2017-12-13 11:09:26,0
87250,1,11,2017-12-13 11:09:26,11,2017-12-13 11:09:26,1
87251,2,11,2017-12-13 11:09:26,11,2017-12-13 11:09:26,1
87252,0,11,2017-12-13 11:09:26,11,2017-12-13 11:09:26,0
87253,4,11,2017-12-13 11:09:26,11,2017-12-13 11:09:26,1
87254,0,11,2017-12-13 11:09:26,11,2017-12-13 11:09:26,0
87255,3,11,2017-12-13 11:09:26,11,2017-12-13 11:09:26,0
87255,5,11,2017-12-13 11:09:26,11,2017-12-13 11:09:26,0
87255,6,11,2017-12-13 11:09:26,11,2017-12-13 11:09:26,0
87256,7,11,2017-12-13 11:09:26,11,2017-12-13 11:09:26,0
87293,0,11,2017-12-13 11:23:17,11,2017-12-13 11:23:17,0
87294,1,11,2017-12-13 11:23:17,11,2017-12-13 11:23:17,0
87295,1,11,2017-12-13 11:23:17,11,2017-12-13 11:23:17,0
87296,0,11,2017-12-13 11:23:17,11,2017-12-13 11:23:17,0
87297,2,11,2017-12-13 11:23:17,11,2017-12-13 11:23:17,0
87297,3,11,2017-12-13 11:23:17,11,2017-12-13 11:23:17,0
87297,4,11,2017-12-13 11:23:17,11,2017-12-13 11:23:17,0
87298,5,11,2017-12-13 11:23:17,11,2017-12-13 11:23:17,0
87299,0,11,2017-12-13 11:23:17,11,2017-12-13 11:23:17,0
87300,0,11,2017-12-13 11:23:17,11,2017-12-13 11:23:17,0
87301,2,11,2017-12-13 11:23:17,11,2017-12-13 11:23:17,0
87302,0,11,2017-12-13 11:23:17,11,2017-12-13 11:23:17,0
87303,1,11,2017-12-13 11:23:17,11,2017-12-13 11:23:17,0
87304,3,11,2017-12-13 11:23:17,11,2017-12-13 11:23:17,0
87304,4,11,2017-12-13 11:23:17,11,2017-12-13 11:23:17,0
87304,5,11,2017-12-13 11:23:17,11,2017-12-13 11:23:17,0
87337,0,11,2017-12-13 15:14:05,11,2017-12-13 15:14:05,0
87338,0,11,2017-12-13 15:14:05,11,2017-12-13 15:14:05,0
87339,1,11,2017-12-13 15:14:05,11,2017-12-13 15:14:05,0
87339,2,11,2017-12-13 15:14:05,11,2017-12-13 15:14:05,0
87340,3,11,2017-12-13 15:14:05,11,2017-12-13 15:14:05,0
87341,4,11,2017-12-13 15:14:05,11,2017-12-13 15:14:05,0
87342,0,11,2017-12-13 15:14:05,11,2017-12-13 15:14:05,0
87343,0,11,2017-12-13 15:14:05,11,2017-12-13 15:14:05,0
87344,1,11,2017-12-13 15:14:05,11,2017-12-13 15:14:05,0
87344,2,11,2017-12-13 15:14:05,11,2017-12-13 15:14:05,0
87345,3,11,2017-12-13 15:14:05,11,2017-12-13 15:14:05,0
87346,4,11,2017-12-13 15:14:05,11,2017-12-13 15:14:05,0
87369,0,11,2017-12-13 16:49:22,11,2017-12-13 16:49:22,0
87370,1,11,2017-12-13 16:49:22,11,2017-12-13 16:49:22,0
87371,2,11,2017-12-13 16:49:22,11,2017-12-13 16:49:22,0
87372,3,11,2017-12-13 16:49:22,11,2017-12-13 16:49:22,0
87373,4,11,2017-12-13 16:49:22,11,2017-12-13 16:49:22,0
87374,5,11,2017-12-13 16:49:22,11,2017-12-13 16:49:22,0
87375,6,11,2017-12-13 16:49:22,11,2017-12-13 16:49:22,0
87376,7,11,2017-12-13 16:49:22,11,2017-12-13 16:49:22,0
87377,8,11,2017-12-13 16:49:22,11,2017-12-13 16:49:22,0
87378,9,11,2017-12-13 16:49:22,11,2017-12-13 16:49:22,0
87379,0,11,2017-12-13 16:49:22,11,2017-12-13 16:49:22,0
87380,0,11,2017-12-13 16:49:22,11,2017-12-13 16:49:22,0
87381,2,11,2017-12-13 16:49:22,11,2017-12-13 16:49:22,0
87382,3,11,2017-12-13 16:49:22,11,2017-12-13 16:49:22,0
87383,0,11,2017-12-13 16:49:22,11,2017-12-13 16:49:22,0
87384,1,11,2017-12-13 16:49:22,11,2017-12-13 16:49:22,0
87385,4,11,2017-12-13 16:49:22,11,2017-12-13 16:49:22,0
87385,5,11,2017-12-13 16:49:22,11,2017-12-13 16:49:22,0
87385,6,11,2017-12-13 16:49:22,11,2017-12-13 16:49:22,0
87386,7,11,2017-12-13 16:49:22,11,2017-12-13 16:49:22,0
87387,8,11,2017-12-13 16:49:22,11,2017-12-13 16:49:22,0
87388,9,11,2017-12-13 16:49:22,11,2017-12-13 16:49:22,0
87389,10,11,2017-12-13 16:49:22,11,2017-12-13 16:49:22,0
87390,11,11,2017-12-13 16:49:22,11,2017-12-13 16:49:22,0
87391,0,11,2017-12-13 16:51:54,11,2017-12-13 16:51:54,0
87392,1,11,2017-12-13 16:51:54,11,2017-12-13 16:51:54,0
87393,2,11,2017-12-13 16:51:54,11,2017-12-13 16:51:54,0
87394,3,11,2017-12-13 16:51:54,11,2017-12-13 16:51:54,0
87395,4,11,2017-12-13 16:51:54,11,2017-12-13 16:51:54,0
87396,5,11,2017-12-13 16:51:54,11,2017-12-13 16:51:54,0
87397,6,11,2017-12-13 16:51:54,11,2017-12-13 16:51:54,0
87398,7,11,2017-12-13 16:51:54,11,2017-12-13 16:51:54,0
87399,0,11,2017-12-13 16:51:54,11,2017-12-13 16:51:54,0
87400,1,11,2017-12-13 16:51:54,11,2017-12-13 16:51:54,0
87401,0,11,2017-12-13 16:51:54,11,2017-12-13 16:51:54,0
87402,0,11,2017-12-13 16:51:54,11,2017-12-13 16:51:54,0
87403,3,11,2017-12-13 16:51:54,11,2017-12-13 16:51:54,0
87404,2,11,2017-12-13 16:51:54,11,2017-12-13 16:51:54,0
87404,4,11,2017-12-13 16:51:54,11,2017-12-13 16:51:54,0
87404,5,11,2017-12-13 16:51:54,11,2017-12-13 16:51:54,0
87405,6,11,2017-12-13 16:51:54,11,2017-12-13 16:51:54,0
87406,7,11,2017-12-13 16:51:54,11,2017-12-13 16:51:54,0
87407,8,11,2017-12-13 16:51:54,11,2017-12-13 16:51:54,0
87408,0,11,2017-12-13 16:53:13,11,2017-12-13 16:53:13,0
87409,1,11,2017-12-13 16:53:13,11,2017-12-13 16:53:13,0
87410,2,11,2017-12-13 16:53:13,11,2017-12-13 16:53:13,0
87411,3,11,2017-12-13 16:53:13,11,2017-12-13 16:53:13,0
87412,4,11,2017-12-13 16:53:13,11,2017-12-13 16:53:13,0
87413,5,11,2017-12-13 16:53:13,11,2017-12-13 16:53:13,0
87414,0,11,2017-12-13 16:53:13,11,2017-12-13 16:53:13,0
87415,1,11,2017-12-13 16:53:13,11,2017-12-13 16:53:13,0
87416,1,11,2017-12-13 16:53:13,11,2017-12-13 16:53:13,0
87417,3,11,2017-12-13 16:53:13,11,2017-12-13 16:53:13,0
87418,4,11,2017-12-13 16:53:13,11,2017-12-13 16:53:13,0
87419,2,11,2017-12-13 16:53:13,11,2017-12-13 16:53:13,0
87419,5,11,2017-12-13 16:53:13,11,2017-12-13 16:53:13,0
87708,0,12,2017-12-14 17:43:00,12,2017-12-14 17:43:00,0
87709,0,12,2017-12-14 17:43:00,12,2017-12-14 17:43:00,0
87710,1,12,2017-12-14 17:43:00,12,2017-12-14 17:43:00,0
87710,2,12,2017-12-14 17:43:00,12,2017-12-14 17:43:00,0
87711,0,12,2017-12-14 17:43:00,12,2017-12-14 17:43:00,0
87712,0,12,2017-12-14 17:43:00,12,2017-12-14 17:43:00,0
87713,3,12,2017-12-14 17:43:01,12,2017-12-14 17:43:01,0
87713,4,12,2017-12-14 17:43:01,12,2017-12-14 17:43:01,0
87713,5,12,2017-12-14 17:43:01,12,2017-12-14 17:43:01,0
87714,0,12,2017-12-14 17:43:01,12,2017-12-14 17:43:01,0
87715,0,12,2017-12-14 17:43:01,12,2017-12-14 17:43:01,0
87716,1,12,2017-12-14 17:43:01,12,2017-12-14 17:43:01,0
87716,2,12,2017-12-14 17:43:01,12,2017-12-14 17:43:01,1
87717,3,12,2017-12-14 17:43:01,12,2017-12-14 17:43:01,0
87718,0,12,2017-12-14 17:43:01,12,2017-12-14 17:43:01,0
87719,4,12,2017-12-14 17:43:01,12,2017-12-14 17:43:01,0
87719,5,12,2017-12-14 17:43:01,12,2017-12-14 17:43:01,0
87811,0,11,2017-12-15 09:31:49,11,2017-12-15 09:31:49,0
87812,1,11,2017-12-15 09:31:49,11,2017-12-15 09:31:49,0
87813,2,11,2017-12-15 09:31:49,11,2017-12-15 09:31:49,0
87814,3,11,2017-12-15 09:31:49,11,2017-12-15 09:31:49,0
87815,4,11,2017-12-15 09:31:49,11,2017-12-15 09:31:49,0
87816,5,11,2017-12-15 09:31:49,11,2017-12-15 09:31:49,0
87817,6,11,2017-12-15 09:31:49,11,2017-12-15 09:31:49,0
87818,0,11,2017-12-15 09:31:49,11,2017-12-15 09:31:49,0
87819,0,11,2017-12-15 09:31:49,11,2017-12-15 09:31:49,0
87820,2,11,2017-12-15 09:31:49,11,2017-12-15 09:31:49,0
87821,1,11,2017-12-15 09:31:50,11,2017-12-15 09:31:50,0
87821,3,11,2017-12-15 09:31:50,11,2017-12-15 09:31:50,0
